scalar,RGB_r,RGB_g,RGB_b
0.000000,0.082353,0.133333,0.278431
0.050000,0.105882,0.196078,0.321569
0.100000,0.156863,0.286275,0.419608
0.150000,0.211765,0.396078,0.521569
0.200000,0.282353,0.505882,0.600000
0.250000,0.349020,0.631373,0.701961
0.300000,0.439216,0.768627,0.800000
0.350000,0.517647,0.858824,0.847059
0.400000,0.596078,0.921569,0.878431
0.450000,0.709804,0.968627,0.905882
0.490000,0.803922,0.980392,0.929412
0.500000,0.831373,0.988235,0.886275
0.510000,0.803922,0.980392,0.823529
0.550000,0.709804,0.968627,0.729412
0.600000,0.584314,0.901961,0.584314
0.650000,0.505882,0.800000,0.478431
0.700000,0.439216,0.701961,0.384314
0.750000,0.376471,0.600000,0.301961
0.800000,0.321569,0.501961,0.235294
0.850000,0.250980,0.419608,0.129412
0.900000,0.223529,0.349020,0.094118
0.950000,0.231373,0.321569,0.105882
1.000000,0.215686,0.278431,0.082353
