scalar,RGB_r,RGB_g,RGB_b
0.0,0.12549,0.0,0.380392
0.025,0.113725,0.0235294,0.45098
0.05,0.105882,0.0509804,0.509804
0.075,0.0392157,0.0392157,0.560784
0.1,0.0313725,0.0980392,0.6
0.125,0.0431373,0.164706,0.639216
0.15,0.054902,0.243137,0.678431
0.175,0.054902,0.317647,0.709804
0.2,0.0509804,0.396078,0.741176
0.225,0.0392157,0.466667,0.768627
0.25,0.0313725,0.537255,0.788235
0.287064655172,0.0313725,0.615686,0.811765
0.318407758621,0.0235294,0.709804,0.831373
0.34825862069,0.0509804,0.8,0.85098
0.370149137931,0.0705882,0.854902,0.870588
0.394030172414,0.262745,0.901961,0.862745
0.412437931034,0.423529,0.941176,0.87451
0.435820689655,0.572549,0.964706,0.835294
0.45323362069,0.658824,0.980392,0.843137
0.468656896552,0.764706,0.980392,0.866667
0.483581896552,0.827451,0.980392,0.886275
0.499,0.913725,0.988235,0.937255
0.5,1.0,1.0,1.0
0.501,0.988235,0.980392,0.870588
0.516418103448,0.992157,0.964706,0.713725
0.529850862069,0.988235,0.956863,0.643137
0.555721551724,0.980392,0.917647,0.509804
0.581094827586,0.968627,0.87451,0.407843
0.604477586207,0.94902,0.823529,0.321569
0.625,0.929412,0.776471,0.278431
0.65,0.909804,0.717647,0.235294
0.675,0.890196,0.658824,0.196078
0.7,0.878431,0.619608,0.168627
0.725,0.870588,0.54902,0.156863
0.75,0.85098,0.47451,0.145098
0.775,0.831373,0.411765,0.133333
0.8,0.811765,0.345098,0.113725
0.825,0.788235,0.266667,0.0941176
0.85,0.741176,0.184314,0.0745098
0.875,0.690196,0.12549,0.0627451
0.9,0.619608,0.0627451,0.0431373
0.925,0.54902,0.027451,0.0705882
0.95,0.470588,0.0156863,0.0901961
0.975,0.4,0.00392157,0.101961
1.0,0.34902,0.0,0.129412
