scalar,RGB_r,RGB_g,RGB_b
0.0000,0.0196078,0.188235,0.380392
0.0625,0.0885023,0.321111,0.564935
0.1250,0.163394,0.444984,0.697505
0.1875,0.247059,0.555703,0.754101
0.2500,0.420691,0.676432,0.818692
0.3125,0.606455,0.789776,0.880278
0.3750,0.761471,0.868513,0.924559
0.4375,0.878050,0.925719,0.951949
0.5000,0.969085,0.966476,0.964935
0.5625,0.983856,0.897581,0.84683
0.6250,0.982467,0.800687,0.706111
0.6875,0.960327,0.667826,0.536339
0.7500,0.894575,0.503807,0.399771
0.8125,0.817075,0.332174,0.281041
0.8750,0.728496,0.155016,0.197391
0.9375,0.576928,0.0553597,0.149248
1.0000,0.403922,0.0,0.121569
